Word,Similarity
banjir,0.584498405456543
malapetaka,0.5742541551589966
tsunami,0.5641165971755981
kekeringan,0.5571078658103943
kelaparan,0.538079559803009
kebakaran,0.5183100700378418
epidemi,0.5179765820503235
kehancuran,0.5169246196746826
gempa,0.5150286555290222
tragedi,0.5997490286827087
kemalangan,0.5875647664070129
kesialan,0.5659881234169006
kejadian,0.5631272792816162
imbasnya,0.5617528557777405
tenggelamnya,0.5430253744125366
luapan,0.6219333410263062
kekeringan,0.6196048259735107
jebolnya,0.6081517934799194
kemacetan,0.5943864583969116
erosi,0.5898998379707336
tanggul,0.5850115418434143
bencana,0.5844983458518982
kebakaran,0.5663203597068787
bandang,0.5528610944747925
earthquake,0.5841647386550903
letusan,0.5679782629013062
bencana,0.5641166567802429
gempabumi,0.5571192502975464
erupsi,0.546808123588562
pascagempa,0.5399539470672607
guncangan,0.539455235004425
diterjang,0.5238288640975952
longsor,0.5212538242340088
banjir,0.6196048259735107
kepanikan,0.6217405796051025
malapetaka,0.6183853149414062
kolera,0.6167947053909302
kesengsaraan,0.6131706833839417
kesusahan,0.6067626476287842
penderitaan,0.5591515898704529
berkepanjangan,0.5558048486709595
ledakan,0.6149957776069641
banjir,0.5663204789161682
pemadaman,0.5525127649307251
musibah,0.5361427068710327
terbakar,0.5344908237457275
longsor,0.5212211012840271
bencana,0.5183101296424866
letusan,0.5091123580932617
kecelakaan,0.5030372142791748
kepanikan,0.5022986531257629
jatuhnya,0.6192030906677246
letusan,0.619019627571106
guncangan,0.5745404958724976
gempabumi,0.5556459426879883
longsor,0.5369135141372681
erupsi,0.5282527208328247
bencana,0.5150286555290222
ledakan,0.5082412362098694
susulan,0.5070127844810486
mengguncang,0.5069633722305298
tabrakan,0.5826204419136047
ditabrak,0.5356746912002563
tertabrak,0.524468183517456
tragedi,0.5099839568138123
kebakaran,0.5030372142791748
tewas,0.48684021830558777
menabrak,0.4751129746437073
banjir,0.584498405456543
malapetaka,0.5742541551589966
tsunami,0.5641165971755981
kekeringan,0.5571078658103943
kelaparan,0.538079559803009
kebakaran,0.5183100700378418
epidemi,0.5179765820503235
kehancuran,0.5169246196746826
gempa,0.5150286555290222
pembantaian,0.6187449097633362
penembakan,0.6036487817764282
bentrokan,0.5866861343383789
tragedi,0.5830890536308289
skandal,0.5706419944763184
kejadian,0.5645816922187805
musibah,0.5997490286827087
insiden,0.5830891728401184
pembantaian,0.5682499408721924
kerusuhan,0.5620079040527344
penyanderaan,0.5373280048370361
tragis,0.5174139142036438
kecelakaan,0.509984016418457
tewasnya,0.5012503862380981
kejadian,0.49599090218544006
kekecewaan,0.611562192440033
kesukaran,0.5942856669425964
keberuntungan,0.589577317237854
kesengsaraan,0.5795528292655945
siksaan,0.5790103673934937
kejadiannya,0.6026721000671387
insiden,0.5645818114280701
musibah,0.563127338886261
keanehan,0.5561517477035522
fenomena,0.512645423412323
penampakan,0.5093764662742615
nubuat,0.4993203580379486
tragedi,0.4959908723831177
malapetaka,0.4957721531391144
musibah,0.5617528557777405
dampaknya,0.548597514629364
hantaman,0.48322978615760803
guncangan,0.4822359085083008
goncangan,0.46904873847961426
banjir,0.46572452783584595
epidemi,0.4621157646179199
kepanikan,0.4599010646343231
terjangan,0.4591517448425293
tenggelam,0.6030161380767822
pesiarnya,0.6021820902824402
terbakarnya,0.600519597530365
tangker,0.5831477642059326
rms,0.5655032992362976
jebolnya,0.6198211312294006
pengikisan,0.619621753692627
amblas,0.6102012395858765
abrasi,0.6041375994682312
kekeringan,0.5961258411407471
salinisasi,0.5914780497550964
tergenang,0.6249289512634277
banjir,0.6219334602355957
meluapnya,0.6122610569000244
lahar,0.6099754571914673
jebolnya,0.604312002658844
erosi,0.6040919423103333
banjir,0.6196048259735107
longsor,0.6198211312294006
banjir,0.6081518530845642
luapan,0.6043121218681335
meluapnya,0.5885663628578186
pendangkalan,0.5860394835472107
bendungan,0.5466336607933044
rusaknya,0.5426545739173889
lapindo,0.5363849401473999
ketidaknyamanan,0.6068650484085083
hambatan,0.5962266325950623
banjir,0.5943864583969116
keterlambatan,0.5918503999710083
penundaan,0.5779053568840027
kekeringan,0.5729840397834778
kebocoran,0.5458585619926453
pelebaran,0.5431739687919617
terowongan,0.6065553426742554
gorong,0.5887590646743774
banjir,0.5850116014480591
parit,0.5814497470855713
banjir,0.584498405456543
malapetaka,0.5742541551589966
tsunami,0.5641165971755981
kekeringan,0.5571078658103943
kelaparan,0.538079559803009
kebakaran,0.5183100700378418
epidemi,0.5179765820503235
kehancuran,0.5169246196746826
gempa,0.5150286555290222
ledakan,0.6149957776069641
banjir,0.5663204789161682
pemadaman,0.5525127649307251
musibah,0.5361427068710327
terbakar,0.5344908237457275
longsor,0.5212211012840271
bencana,0.5183101296424866
letusan,0.5091123580932617
kecelakaan,0.5030372142791748
kepanikan,0.5022986531257629
longsor,0.5632879734039307
banjir,0.5528611540794373
diterjang,0.5309651494026184
meluapnya,0.5209537148475647
jebolnya,0.5203295350074768
wasior,0.506882905960083
tandjoengpoera,0.5021014213562012
tuminanga,0.4912939667701721
mardinding,0.48607397079467773
rawan,0.48553210496902466
kekecewaan,0.611562192440033
kesukaran,0.5942856669425964
keberuntungan,0.589577317237854
kesengsaraan,0.5795528292655945
siksaan,0.5790103673934937
jatuhnya,0.6192030906677246
murka,0.6129774451255798
ditimpa,0.6092875003814697
pedih,0.596843957901001
meminumnya,0.5938374400138855
azab,0.5921893119812012
kemalangan,0.5867210626602173
ulah,0.5835803747177124
kesusahan,0.5776318907737732
kesialan,0.5768648386001587
